"","x"
"299",8.15488261448317e-15
"300",2.56792736048102e-11
"301",5.56671215921411e-14
"302",5.89536259896777e-13
"303",1.06211484296199e-18
"304",1.18780831175961e-18
"305",1.67461631814498e-14
"306",2.42149267463779e-14
"307",3.09822117846698e-12
"308",2.45391805244462e-15
"309",1.05149993319333e-19
"310",1.27794237041111e-11
"311",1.42580772879849e-10
"312",2.17536912330263e-10
"313",1.36737905631545e-11
"314",1.27558557782369e-11
"315",5.58976665527355e-14
"316",4.5916505395814e-15
"317",1.25211955105052e-15
"318",3.11009342343041e-13
"319",8.76776346278704e-10
"320",1.76365031334968e-11
"321",2.54322054783002e-14
"322",2.88685607280313e-14
"323",4.57159149859401e-18
"324",9.37393523587044e-14
"325",1.10962262727573e-15
"326",2.58710980408187e-14
"327",8.18209491590029e-10
"328",1.91790898442343e-17
"329",1.55057783936026e-18
"330",1.30002210875843e-16
"331",8.66814040037694e-14
"332",5.69310597254693e-15
"333",1.643276174489e-14
"334",3.57539983230168e-20
"335",7.34016555867924e-13
"336",5.03347188577608e-14
"337",6.99242649025208e-12
"338",3.34212905717483e-19
"339",1.39630584499871e-12
"340",5.94355572783481e-16
"341",1.52387796573802e-10
"342",1.68628914083251e-11
"343",1.96629038453971e-13
"344",1.62266058040948e-19
"345",3.35589852057703e-17
"346",4.58447684963154e-22
"347",2.06871944445462e-18
"348",1.22408112871798e-16
"349",1.35758605464848e-10
"350",6.11893622299457e-15
"351",1.32547259473024e-16
"352",NA
"353",NA
"354",3.11115484401011e-12
"355",1.78203557175257e-15
"356",3.21635979121254e-15
"357",1.19591876168545e-12
"358",2.84756977853119e-13
"359",3.37491107932274e-12
"360",8.90101692617305e-11
"361",2.94662852984605e-11
"362",2.15096521171562e-12
"363",9.80045432187982e-14
"364",5.7280982851164e-12
"365",9.09938512931768e-09
"366",3.48303496088397e-15
"367",5.7038101470849e-18
"368",1.1157070716764e-11
"369",1.5084347242025e-11
"370",1.0511533098424e-12
"371",1.60124159048112e-16
"372",8.95457095193566e-16
"373",4.0104995176295e-19
"374",1.53231572027487e-15
"375",5.41045120381124e-12
"376",2.82669836961376e-13
"377",3.86812293887623e-15
"378",7.34641635409473e-13
"379",1.27240236059796e-13
"380",4.09119767646541e-12
"381",1.08224075831141e-10
"382",4.93541560623244e-15
"383",6.35140933375959e-13
"384",4.76399691883099e-15
"385",7.27842382433471e-15
"386",6.4365373962644e-16
"387",2.97054482889244e-13
"388",1.03300614560413e-12
"389",2.30925423776781e-17
"390",6.93313291402833e-13
"391",2.34481403784501e-15
"392",5.08610731855641e-10
"393",1.38268008017119e-11
"394",1.96584518830011e-15
"395",1.24830832173551e-15
"396",5.90180955438462e-14
"397",1.70217471701171e-12
"398",3.17429256448863e-14
"399",4.43695894266772e-16
"400",1.44187902117618e-09
"401",7.22651894438105e-17
"402",1.86306611444503e-12
"403",4.34226840638635e-12
"404",1.68842503058748e-11
"405",1.78178363646105e-14
"406",3.67673163824465e-15
"407",3.16793323262747e-13
"408",6.38186739174813e-10
"409",1.29062998737073e-11
"410",3.17570701934108e-20
"411",NA
"412",1.00009064382924e-15
"413",8.3028386905292e-17
"414",4.5428938386765e-12
"415",9.99645511644642e-16
"416",1.89632160012862e-15
"417",1.36844524091913e-13
"418",2.33324498686543e-15
"419",5.19916845108986e-16
"420",8.34554792864965e-15
"421",1.81850867209054e-15
"422",3.93657973398695e-19
"423",1.16039611488326e-13
"424",3.54133281672061e-12
"425",1.60283435808542e-13
"426",1.5559088156471e-16
"427",4.85229350197673e-14
"428",1.11502888183328e-13
"429",5.59048161530694e-15
"430",3.12353572949351e-13
"431",4.97998700723869e-14
"432",4.5044100717803e-20
"433",6.79243966957594e-16
"434",5.43327472705343e-12
"435",1.19017115235496e-10
"436",5.18957508319745e-14
"437",1.82621864107955e-13
"438",6.40609309289413e-12
"439",1.6572186268003e-16
"440",1.15712153301741e-13
"441",1.03336137629396e-16
"442",8.40680256905967e-09
"443",1.95346653109939e-18
"444",1.4242765417996e-14
"445",6.12314984043803e-15
