effect,authors,year,experiment,study,article,age,skill,task,trials,days,freqgrps,frgrn,frequency,pub,bandwidth,bprime,faded,yoked,otherrfb,feedback,measure,primary,match,measure-other,irinterval,drinterval,time,n100,n2,mean100,sd100,se100,mean2,sd2,se2,F,t,af,r,q,p,favours,calsd100,calsd2,missing,g_msd,var_g_msd,g_fv,var.g_fv,g_tv,var_g_tv,g_pv,var_g_pv,g_ses,var_g_ses,g_afes,var_g_afes,g_raw,var,g
436,Badets & Blandin,2012,2,5,4,Adult,Novice,Stable-variable,300,1,No,,33,Yes,No,No,No,No,intention,CE,AE,Yes,FALSE,,,1,Acquisition,12,12,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
437,Badets & Blandin,2012,2,5,4,Adult,Novice,Stable-variable,300,1,No,,33,Yes,No,No,No,No,intention,CE,AE,Yes,FALSE,,,1,DelayRet,12,12,110.881068,,10.28883495,94.16990291,,4.47815534,,,,,,,Reduced,35.64156977,15.51278515,Yes,,,,,,,,,,,,,,0.16,0.59
438,Badets & Blandin,2012,2.5,6,4,Adult,Novice,Stable-variable,300,1,No,,33,Yes,No,No,No,No,nointent,CE,AE,Yes,FALSE,,,1,Acquisition,12,12,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
439,Badets & Blandin,2012,2.5,6,4,Adult,Novice,Stable-variable,300,1,No,,33,Yes,No,No,No,No,nointent,CE,AE,Yes,FALSE,,,1,DelayRet,12,12,98.64805825,,6.0291262,117.3689321,,8.8470874,,,,,,,100,20.88550581,30.64720975,Yes,,,,,,,,,,,,,,0.17,0.69
440,Badets & Blandin,2010,2,7,5,Adult,Novice,Stable-variable,198,2,No,,33,Yes,No,No,No,No,,REL time,AE,Yes,FALSE,,,1,Acquisition,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
443,Badets & Blandin,2010,2,7,5,Adult,Novice,Stable-variable,198,2,No,,33,Yes,No,No,No,No,,REL time,AE,Yes,FALSE,,10,1,ImmRet,12,12,6.911814575,,0.528023645,10.40270669,,1.261320682,,,,,,,100,1.829127561,4.369343012,Yes,,,,,,,,,,,,,,0.18,-1.01
446,Badets & Blandin,2010,2,7,5,Adult,Novice,Stable-variable,198,2,No,,33,Yes,No,No,No,No,,REL time,AE,Yes,FALSE,,10,1,DelayRet,12,12,7.944030489,,0.565232947,10.93073034,,1.607902309,,,,,,,100,1.958024365,5.569936986,Yes,,,,,,,,,,,,,,0.17,-0.69
448,Badets & Blandin,2010,2,7,5,Adult,Novice,Stable-variable,198,2,No,,33,Yes,No,No,No,No,,REL time,AE,Yes,FALSE,,10,1,Transfer,12,12,7.658489539,,0.632122579,9.34373493,,0.950268338,,,,,,,100,2.189736847,3.291826084,Yes,,,,,,,,,,,,,,0.16,-0.58
163,Barton,2008,1,8,6,Older,Novice,Stable-constant,33,1,No,,33,No,No,No,No,No,,AE,AE,Yes,TRUE,correlation between the position of the performance bar and the target bar for each trial.,10,,Acquisition,9,9,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
164,Barton,2008,1,8,6,Older,Novice,Stable-constant,33,1,No,,33,No,No,No,No,No,,AE,AE,Yes,TRUE,,10,,ImmRet,9,9,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
165,Barton,2008,1,8,6,Older,Novice,Stable-constant,33,1,No,,33,No,No,No,No,No,,AE,AE,Yes,TRUE,,10,,Transfer,9,9,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
166,Barton,2008,2,9,6,Adult,Novice,Stable-constant,33,1,No,,33,No,No,No,No,No,,AE,AE,Yes,TRUE,,10,,Acquisition,30,30,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
167,Barton,2008,2,9,6,Adult,Novice,Stable-constant,33,1,No,,33,No,No,No,No,No,,AE,AE,Yes,TRUE,,10,,ImmRet,30,30,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
168,Barton,2008,2,9,6,Adult,Novice,Stable-constant,33,1,No,,33,No,No,No,No,No,,AE,AE,Yes,TRUE,,10,,Transfer,30,30,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
429,"Blandin, Toussaint & Shea",2008,1,10,7,Adult,Novice,Stable-constant,198,1,No,,33,Yes,No,No,No,No,,RMSE,RMSE,Yes,TRUE,p,,1,DelayRet,10,10,62.13878404,17.04179151,,52.001018,16.44781871,,,,,,,,Reduced,,,Yes,,,,,,,,,,,,,,0.19,0.58
433,"Blandin, Toussaint & Shea",2008,3,12,7,Adult,Novice,Stable-constant,54,1,No,,33,Yes,No,No,No,No,,RMSE,RMSE,Yes,TRUE,,,1,Transfer,12,12,107.7180606,19.12157099,,111.1411277,23.8825585,,,,,,,,100,,,Yes,,,,,,,,,,,,,,0.16,-0.15
431,"Blandin, Toussaint & Shea",2008,2,11,7,Adult,Novice,Stable-constant,198,1,No,,33,Yes,No,No,No,No,,RMSE,RMSE,Yes,TRUE,pv,,1,Transfer,11,10,82.888027,26.28936972,,102.4629054,25.6649929,,,,,,,,100,,,Yes,,,,,,,,,,,,,,0.2,-0.72
435,"Blandin, Toussaint & Shea",2008,4,13,7,Adult,Novice,Stable-constant,396,1,No,,33,Yes,No,No,No,No,,RMSE,RMSE,Yes,TRUE,,,1,Transfer,12,12,80.51773333,17.69809217,,129.9166765,37.63865893,,,,,,,,100,,,Yes,,,,,,,,,,,,,,0.21,-1.62
428,"Blandin, Toussaint & Shea",2008,1,10,7,Adult,Novice,Stable-constant,198,1,No,,33,Yes,No,No,No,No,,RMSE,RMSE,Yes,TRUE,p,,,Acquisition,10,10,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
430,"Blandin, Toussaint & Shea",2008,2,11,7,Adult,Novice,Stable-constant,198,1,No,,33,Yes,No,No,No,No,,RMSE,RMSE,Yes,TRUE,pv,,,Acquisition,11,10,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
432,"Blandin, Toussaint & Shea",2008,3,12,7,Adult,Novice,Stable-constant,54,1,No,,33,Yes,No,No,No,No,,RMSE,RMSE,Yes,TRUE,,,,Acquisition,12,12,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
434,"Blandin, Toussaint & Shea",2008,4,13,7,Adult,Novice,Stable-constant,396,1,No,,33,Yes,No,No,No,No,,RMSE,RMSE,Yes,TRUE,,,,Acquisition,12,12,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
160,Bruechert et al.,2003,1,14,8,Adult,Novice,Stable-constant,72,1,No,,50,Yes,No,No,No,No,,CE,E,Yes,FALSE,,,1,DelayRet,12,12,38.87,,4,24.06,,2,,,,,,,Reduced,13.856406,6.928203,,,,,,,,,,1.31,0.19,,,1.31,0.19,1.31
159,Bruechert et al.,2003,1,14,8,Adult,Novice,Stable-constant,72,1,No,,50,Yes,No,No,No,No,"before trial target force announced, after trial actual force achieved announced. Although individual could perceive CE through the comparison, no actual error score was provided",CE,E,Yes,FALSE,,,1,Acquisition,12,12,,,,,,,5.16,,,,,,Reduced,,,,,,0.9,0.17,,,,,,,,,0.9,0.17,0.9
424,Burtner et al.,2014,1,15,9,Child,Novice,Stable-constant,200,1,No,,62,Yes,No,No,Yes,No,,RMSE,RMSE,Yes,TRUE,,,1,Acquisition,10,10,15.55,2.8,,18.33,5.6,,,,,,,,100,,,,-0.6,0.19,,,,,,,,,,,-0.6,0.19,-0.6
426,Burtner et al.,2014,1,15,9,Child,Novice,Stable-constant,200,1,No,,62,Yes,No,No,Yes,No,,RMSE,RMSE,Yes,TRUE,,,1,DelayRet,10,10,13.23,3.8,,19.48,6.4,,,,,,,,100,,,,-1.14,0.22,,,,,,,,,,,-1.14,0.22,-1.14
255,Butler et al.,1996,1,16,10,Adult,Novice,Stable-constant,60,1,No,,,Yes,No,No,No,Yes,,CE,ACE,Yes,TRUE,,10,1,Acquisition,10,10,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
257,Butler et al.,1996,1,16,10,Adult,Novice,Stable-constant,60,1,No,,,Yes,No,No,No,Yes,,CE,ACE,Yes,TRUE,,10,1,ImmRet,10,10,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
259,Butler et al.,1996,1,16,10,Adult,Novice,Stable-constant,60,1,No,,,Yes,No,No,No,Yes,,CE,ACE,Yes,TRUE,,10,1,DelayRet,10,10,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
507,da Silva et al.,2017,1,17,11,Child,Novice,Stable-constant,60,1,No,,33,Yes,No,No,No,No,,Form,FORM,Yes,TRUE,,5,1,DelayRet,10,10,,,,,,,13.384,,,,,,Reduced,,,Yes,,,1.57,0.24,,,,,,,,,1.57,0.24,1.57
506,da Silva et al.,2017,1,17,11,Child,Novice,Stable-constant,60,1,No,,33,Yes,No,No,No,No,,Form,FORM,Yes,TRUE,,5,1,ImmRet,10,10,,,,,,,12.453,,,,,,100,,,Yes,,,1.51,0.24,,,,,,,,,1.51,0.24,-1.51
505,da Silva et al.,2017,1,17,11,Child,Novice,Stable-constant,60,1,No,,33,Yes,No,No,No,No,,Form,FORM,Yes,TRUE,,5,1,Acquisition,10,10,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
900,de Oliveira et al.,2009,1,18,12,Child,Novice,Stable-constant,90,1,Yes,3,25,Yes,No,No,No,No,simple,CE,AE,Yes,TRUE,,10,,Acquisition,15,15,176.3319,24.82568,,136.4126,23.874166,,,,,,,,Reduced,,,,,,,,,,,,,,,,,0.17,1.59
141,de Oliveira et al.,2009,2,19,12,Child,Novice,Stable-constant,90,1,Yes,3,25,Yes,No,No,No,No,complex,CE,AE,Yes,TRUE,,10,,Acquisition,15,15,235.6696,76.78713,,149.0963,10.9326,,,,,,,,Reduced,,,Yes,,,,,,,,,,,,,,0.17,1.54
142,de Oliveira et al.,2009,1,18,12,Child,Novice,Stable-constant,90,1,Yes,3,25,Yes,No,No,No,No,simple,CE,AE,Yes,TRUE,,10,,ImmRet,15,15,181.21,67.92,,174.87,34.68,,,,,,,,Reduced,,,Yes,,,,,,,,,,,,,,0.13,0.11
143,de Oliveira et al.,2009,2,19,12,Child,Novice,Stable-constant,90,1,Yes,3,25,Yes,No,No,No,No,complex,CE,AE,Yes,TRUE,,10,,ImmRet,15,15,220.53,118.41,,167.87,19.94,,,,,,,,Reduced,,,Yes,,,,,,,,,,,,,,0.13,0.6
61,Drews et al.,2020,1,20,13,Adult,Novice,In motion-constant,90,1,No,,33,Yes,No,No,No,No,,CE,VE,Yes,TRUE,,1,1,ImmRet,14,14,0.136406186,0.016925185,,0.134999835,0.01,,,,,,,,Reduced,,,Yes,0.1,0.13,,,,,,,,,,,0.1,0.13,0.1
62,Drews et al.,2020,1,20,13,Adult,Novice,In motion-constant,90,1,No,,33,Yes,No,No,No,No,,CE,VE,Yes,TRUE,,1,1,DelayRet,14,14,0.091111269,0.010283462,,0.113425621,0.01,,,,,,,,100,,,Yes,-2.14,0.22,,,,,,,,,,,-2.14,0.22,-2.14
60,Drews et al.,2020,1,20,13,Adult,Novice,In motion-constant,90,1,No,,33,Yes,No,No,No,No,,CE,VE,Yes,TRUE,,1,1,Acquisition,14,14,,,,,,,,1.67,,,,,100,,,Yes,,,,,0.61,0.14,,,,,,,0.61,0.14,-0.61
78,Dunham & Mueller,1993,1,21,14,Adult,Novice,Stable-constant,30,1,Yes,2,50,Yes,No,No,No,No,,CE,AE,Yes,TRUE,,10,,Acquisition,15,15,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
80,Dunham & Mueller,1993,1,21,14,Adult,Novice,Stable-constant,30,1,Yes,2,50,Yes,No,No,No,No,,CE,AE,Yes,TRUE,,10,,ImmRet,15,15,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
136,Gandia et al.,2019,1,22,15,Child,Novice,Stable-constant,12,1,No,,67,Yes,No,No,No,No,,Other-qual,RMSE,Yes,TRUE,,1,1,Acquisition,10,10,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
137,Gandia et al.,2019,1,22,15,Child,Novice,Stable-constant,12,1,No,,67,Yes,No,No,No,No,,Other-qual,RMSE,Yes,TRUE,,1,1,ImmRet,10,10,52.855,,,48.494,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
138,Gandia et al.,2019,1,22,15,Child,Novice,Stable-constant,12,1,No,,67,Yes,No,No,No,No,,Other-qual,RMSE,Yes,TRUE,,1,1,DelayRet,10,10,58.676,,,50.784,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
563,"Goh, Kantak & Sullivan",2012,1,23,16,Child,Novice,Stable-constant,200,1,No,,62,Yes,No,No,Yes,No,,RMSE,RMSE,Yes,TRUE,,,1,Acquisition,10,9,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
566,"Goh, Kantak & Sullivan",2012,1,23,16,Child,Novice,Stable-constant,200,1,No,,62,Yes,No,No,Yes,No,,RMSE,RMSE,Yes,TRUE,,,1,DelayRet,10,9,9.243898672,,0.691642309,9.643084171,,0.750026734,,,,,,,100,2.187165023,2.250080202,Yes,,,,,,,,,,,,,,0.19,-0.17
569,"Goh, Kantak & Sullivan",2012,2,24,16,Adult,Novice,Stable-constant,200,1,No,,62,Yes,No,No,Yes,No,,RMSE,RMSE,Yes,TRUE,,,1,Acquisition,10,9,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
572,"Goh, Kantak & Sullivan",2012,2,24,16,Adult,Novice,Stable-constant,200,1,No,,62,Yes,No,No,Yes,No,,RMSE,RMSE,Yes,TRUE,,,1,DelayRet,10,9,8.074606117,,0.639332478,7.85216309,,0.527331219,,,,,,,Reduced,2.021746813,1.581993657,Yes,,,,,,,,,,,,,,0.19,0.12
24,"Goodwin, Eckerson, & Voll",2001,1,25,17,Adult,Novice,Stable-constant,60,1,No,,50,Yes,No,No,No,No,,CE,ACE,Yes,TRUE,,,2,Acquisition,22,22,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
26,"Goodwin, Eckerson, & Voll",2001,1,25,17,Adult,Novice,Stable-constant,60,1,No,,50,Yes,No,No,No,No,,CE,ACE,Yes,TRUE,,,2,DelayRet,22,22,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
559,Guadagnoli & Kohl,2001,1,26,18,Adult,Novice,Stable-constant,150,1,No,,20,Yes,No,No,No,No,,CE,RMSE,Yes,TRUE,,,1,DelayRet,16,16,350,,14.18,288,,16.99,,,,,,,Reduced,56.72,67.96,Yes,,,,,,,,,0.97,0.13,,,0.97,0.13,0.97
557,Guadagnoli & Kohl,2001,1,26,18,Adult,Novice,Stable-constant,150,1,No,,20,Yes,No,No,No,No,,CE,RMSE,Yes,TRUE,,,1,Acquisition,16,16,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
553,Guadagnoli et al.,2002,1,27,19,Older,Novice,Stable-constant,60,1,No,,20,Yes,No,No,No,No,,CE,AE,Yes,TRUE,,10,,Acquisition,10,10,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
555,Guadagnoli et al.,2002,1,27,19,Older,Novice,Stable-constant,60,1,No,,20,Yes,No,No,No,No,,CE,AE,Yes,TRUE,,10,,ImmRet,10,10,124.6212121,,25.12626263,72.29532164,,17.97248804,,,,,,,Reduced,79.456219,56.83399743,Yes,,,,,,,,,,,,,,0.2,0.73
90,Guay et al.,1999,1,28,20,Adult,Novice,Stable-constant,80,1,No,,20,Yes,No,No,No,No,,CE,ACE,Yes,TRUE,,10,2,DelayRet,10,10,82,73,,74,63,,,,,,,,Reduced,,,Yes,0.11,0.18,,,,,,,,,,,0.11,0.18,0.11
88,Guay et al.,1999,1,28,20,Adult,Novice,Stable-constant,80,1,No,,20,Yes,No,No,No,No,,CE,ACE,Yes,TRUE,,10,2,ImmRet,10,10,30,24,,83,106,,,,,,,,100,,,Yes,-0.66,0.19,,,,,,,,,,,-0.66,0.19,-0.66
86,Guay et al.,1999,1,28,20,Adult,Novice,Stable-constant,80,1,No,,20,Yes,No,No,No,No,,CE,ACE,Yes,TRUE,,10,2,Acquisition,10,10,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
307,Ho and Shea,1978,1,29,21,Adult,Novice,Stable-constant,50,1,No,,50,Yes,No,No,No,No,,CE,AE,Yes,TRUE,,5,,Acquisition,14,14,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
309,Ho and Shea,1978,1,29,21,Adult,Novice,Stable-constant,50,1,No,,50,Yes,No,No,No,No,,CE,AE,Yes,TRUE,,5,,ImmRet,14,14,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
501,Keller et al,2014,1,75,53,Adult,Novice,Stable-constant,720,12,No,,50,Yes,No,No,Yes,No,,Other-precise,Other,Yes,,Jump height,,2,DelayRet,11,12,44.22145329,33.74005842,,42.24913495,28.04843522,,,,,,,,100,,,,,,,,,,,,,,,,,0.16,-0.06
299,Kohl & Guadagnoli,1996,1,30,22,Adult,Novice,Stable-constant,120,1,No,,50,Yes,No,No,No,No,,Other-qual,RMSE,Yes,TRUE,,,1,Acquisition,12,24,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
301,Kohl & Guadagnoli,1996,1,30,22,Adult,Novice,Stable-constant,120,1,No,,50,Yes,No,No,No,No,,Other-qual,RMSE,Yes,TRUE,,,1,DelayRet,12,24,1.872126954,0.420136023,,1.83,1.0163,,,,,,,,Reduced,,,Yes,,,,,,,,,,,,,,0.12,0.05
303,Kohl & Guadagnoli,1996,2,31,22,Adult,Novice,Stable-constant,144,1,No,,50,Yes,No,No,No,No,,Other-qual,RMSE,Yes,TRUE,,,1,Acquisition,14,56,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
305,Kohl & Guadagnoli,1996,2,31,22,Adult,Novice,Stable-constant,144,1,No,,50,Yes,No,No,No,No,,Other-qual,RMSE,Yes,TRUE,,,1,DelayRet,14,56,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
291,Lai and Shea,1998,1,32,23,Adult,Novice,Stable-constant,108,1,No,,50,Yes,No,No,No,No,,CE,ABS time,Yes,TRUE,,,1,Acquisition,10,10,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
294,Lai and Shea,1998,1,32,23,Adult,Novice,Stable-constant,108,1,No,,50,Yes,No,No,No,No,,CE,ABS time,Yes,TRUE,,,1,DelayRet,10,10,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
297,Lai and Shea,1998,1,32,23,Adult,Novice,Stable-constant,108,1,No,,50,Yes,No,No,No,No,,CE,ABS time,Yes,TRUE,,,1,Transfer,10,10,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
320,Lai and Shea,1999,1,33,24,Adult,Novice,Stable-constant,80,1,No,,50,Yes,No,No,No,No,,CE,ACE,Yes,TRUE,,5,1,Acquisition,9,18,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
323,Lai and Shea,1999,1,33,24,Adult,Novice,Stable-constant,80,1,No,,50,Yes,No,No,No,No,,CE,ACE,Yes,TRUE,,5,1,ImmRet,9,18,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
326,Lai and Shea,1999,1,33,24,Adult,Novice,Stable-constant,80,1,No,,50,Yes,No,No,No,No,,CE,ACE,Yes,TRUE,,5,1,DelayRet,9,18,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
329,Lai and Shea,1999,2,34,24,Adult,Novice,Stable-constant,192,1,No,,50,Yes,No,No,Yes,No,,Other-precise,RMSE,Yes,TRUE,,5,1,Acquisition,12,12,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
330,Lai and Shea,1999,2,34,24,Adult,Novice,Stable-constant,192,1,No,,50,Yes,No,No,Yes,No,,Other-precise,RMSE,Yes,TRUE,,5,1,ImmRet,12,12,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
331,Lai and Shea,1999,2,34,24,Adult,Novice,Stable-constant,192,1,No,,50,Yes,No,No,Yes,No,,Other-precise,RMSE,Yes,TRUE,,5,1,DelayRet,12,12,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
276,Lotfi et al.,2018,1,35,25,Adult,Novice,Stable-constant,80,1,No,,50,Yes,No,No,No,No,,CE,AE,Yes,TRUE,Mean Spatial Error,15,1,Acquisition,24,24,2.695,1.9938,,3.16,2.28,,,,,,,,100,,,Yes,-0.21,0.08,,,,,,,,,,,-0.21,0.08,-0.21
278,Lotfi et al.,2018,1,35,25,Adult,Novice,Stable-constant,80,1,No,,50,Yes,No,No,No,No,,CE,AE,Yes,TRUE,Mean Spatial Error,15,1,ImmRet,24,24,2.47,1.4664,,3.31,2.75,,,,,,,,100,,,Yes,-0.37,0.08,,,,,,,,,,,-0.37,0.08,-0.37
280,Lotfi et al.,2018,1,35,25,Adult,Novice,Stable-constant,80,1,No,,50,Yes,No,No,No,No,,CE,AE,Yes,TRUE,Mean Spatial Error,15,1,DelayRet,24,24,1.915,1.3289,,2.9,2.42,,5.137,,,,,,100,,,,-0.5,0.08,0.64,0.08,,,,,,,,,-0.5,0.08,-0.5
93,McCullagh & Little,1990,1,36,26,Adult,Novice,Stable-constant,60,1,No,,33,Yes,No,No,No,No,,CE,AE,Yes,TRUE,,2,1,ImmRet,15,15,150.9,166.6,,109.4,60.4,,,,,,,,Reduced,,,,0.32,0.13,,,,,,,,,,,0.32,0.13,0.32
94,McCullagh & Little,1990,1,36,26,Adult,Novice,Stable-constant,60,1,No,,33,Yes,No,No,No,No,,CE,AE,Yes,TRUE,,2,1,DelayRet,15,15,185.5,179.8,,175.3,108.8,,,,,,,,Reduced,,,,0.07,0.13,,,,,,,,,,,0.07,0.13,0.07
92,McCullagh & Little,1990,1,36,26,Adult,Novice,Stable-constant,60,1,No,,33,Yes,No,No,No,No,,CE,AE,Yes,TRUE,,2,1,Acquisition,15,15,147.3,,,150.1,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
526,McKay & Ste-Marie,2020,1,37,27,Adult,Novice,Stable-constant,50,1,No,,50,Yes,No,No,Yes,No,,CE,AE,Yes,TRUE,radial error,,1,Acquisition,34,35,,,,,,,,,0.597,0.37,1,,Reduced,,,Yes,,,,,,,,,,,0.17,0.05,0.17,0.05,0.17
527,McKay & Ste-Marie,2020,1,37,27,Adult,Novice,Stable-constant,50,1,No,,50,Yes,No,No,Yes,No,,CE,AE,Yes,TRUE,radial error,,1,DelayRet,34,35,,,,,,,,,1.443,0.224,1,,100,,,Yes,,,,,,,,,,,0.28,0.05,0.28,0.05,-0.28
528,McKay & Ste-Marie,2020,1,37,27,Adult,Novice,Stable-constant,50,1,No,,50,Yes,No,No,Yes,No,,CE,AE,Yes,TRUE,radial error,,1,Transfer,34,35,,,,,,,,,2.099,0.025,1,,100,,,Yes,,,,,,,,,,,0.34,0.06,0.34,0.06,-0.34
519,Nunes et al.,2014,1,38,28,Older,Novice,Stable-constant,90,3,Yes,2,33,Yes,No,No,No,No,,Form,FORM,Yes,TRUE,checklist number of critical errors,,,Acquisition,20,20,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,
521,Nunes et al.,2014,1,38,28,Older,Novice,Stable-constant,90,3,Yes,2,33,Yes,No,No,No,No,,Form,FORM,Yes,TRUE,checklist number of critical errors,5,,ImmRet,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,Nunes et al.,2014,1,38,28,Older,Novice,Stable-constant,90,3,Yes,2,33,Yes,No,No,No,No,,Form,FORM,Yes,TRUE,checklist number of critical errors,5,1,DelayRet,20,20,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,
525,Nunes et al.,2014,1,38,28,Older,Novice,Stable-constant,90,3,Yes,2,33,Yes,No,No,No,No,,Form,FORM,Yes,TRUE,checklist number of critical errors,5,1,Transfer,20,20,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,
347,Parry ,2010,1,39,29,Adult,Novice,Stable-variable,54,1,No,,33,No,No,No,No,No,,CE,VE,Yes,TRUE,,10,,Acquisition,36,36,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
349,Parry ,2010,1,39,29,Adult,Novice,Stable-variable,54,1,No,,33,No,No,No,No,No,,CE,VE,Yes,TRUE,,10,,ImmRet,36,36,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
32,Rangathan & Newell,2009,1,40,30,Adult,Novice,Stable-constant,480,1,No,,50,Yes,No,No,No,No,,CE,ACE,Yes,TRUE,,2,,Acquisition,6,6,0.1619,0.07159,,0.237,0.1578,,,,,,,,100,,,Yes,,,,,,,,,,,,,-0.57,0.3,-0.57
34,Rangathan & Newell,2009,1,40,30,Adult,Novice,Stable-constant,480,1,No,,50,Yes,No,No,No,No,,CE,ACE,Yes,TRUE,,2,,ImmRet,6,6,1.4168,1.339066,,1.5253,0.998,,,,,,,,100,,,Yes,,,,,,,,,,,,,-0.08,0.28,-0.08
508,Rice & Herndez,2006,1,41,31,Adult,Novice,Stable-constant,30,1,No,,50,Yes,No,No,No,No,,Other-qual,AE,Yes,TRUE,Cumulative AE,10,,Acquisition,8,8,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
509,Rice & Herndez,2006,1,41,31,Adult,Novice,Stable-constant,30,1,No,,50,Yes,No,No,No,No,,Other-qual,AE,Yes,TRUE,Cumulative AE,10,,ImmRet,8,8,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
21,"Shewokis, Kennedy, & Marsh",2000,1,42,32,Adult,Novice,Stable-constant,90,3,No,,,Yes,No,No,No,Yes,,CE,ACE,Yes,TRUE,,,2,Acquisition,8,8,5.28402497,7.927866238,,8.404312076,6.75099689,,,,,,,,100,,,Yes,,,,,,,,,,,,,,0.23,-0.4
23,"Shewokis, Kennedy, & Marsh",2000,1,42,32,Adult,Novice,Stable-constant,90,3,No,,,Yes,No,No,No,Yes,,CE,ACE,Yes,TRUE,,,2,DelayRet,8,8,11.2680986,17.29197127,,13.14239504,11.50042051,,,,,,,,100,,,Yes,,,,,,,,,,,,,,0.22,-0.12
235,Sidaway et al.,2012,1,43,33,Child,Novice,Stable-constant,72,1,No,,33,Yes,No,No,No,No,,CE,AE,Yes,TRUE,,5,7,Acquisition,12,12,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
237,Sidaway et al.,2012,1,43,33,Child,Novice,Stable-constant,72,1,No,,33,Yes,No,No,No,No,,CE,AE,Yes,TRUE,,5,7,ImmRet,12,12,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
239,Sidaway et al.,2012,1,43,33,Child,Novice,Stable-constant,72,1,No,,33,Yes,No,No,No,No,,CE,AE,Yes,TRUE,,5,7,DelayRet,12,12,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
241,Sidaway et al.,2012,1,43,33,Child,Novice,Stable-constant,72,1,No,,33,Yes,No,No,No,No,,CE,AE,Yes,TRUE,,5,7,Transfer,12,12,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
243,Sidaway et al.,2008,1,44,34,Adult,Novice,Stable-constant,120,1,No,,33,Yes,No,No,No,No,,CE,ACE,Yes,FALSE,,10,1,Acquisition,10,10,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
245,Sidaway et al.,2008,1,44,34,Adult,Novice,Stable-constant,120,1,No,,33,Yes,No,No,No,No,,CE,ACE,Yes,FALSE,,10,1,ImmRet,10,10,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
