effect,authors,year,experiment,study,article,age,skill,task,trials,days,freqgrps,frgrn,frequency,pub,bandwidth,bprime,faded,yoked,otherrfb,feedback,measure,primary,match,measure-other,irinterval,drinterval,time,n100,n2,mean100,sd100,se100,mean2,sd2,se2,F,t,af,r,q,p,favours,calsd100,calsd2,missing,g_msd,var_g_msd,g_fv,var.g_fv,g_tv,var_g_tv,g_pv,var_g_pv,g_ses,var_g_ses,g_afes,var_g_afes,g_raw,var,g
466,"Wulf, Chiviacowsky, Schiller & Avila",2010,2,,,Child,Novice,Stable-constant,30,1,No,,33,Yes,No,No,No,No,ext focus,Form,AE,No,TRUE,Throwing Accuracy but did not state AE,,1,Transfer,12,12,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
114,"Wulf, Lee, & Schmidt",1994,2,,,Adult,Novice,Stable-constant,108,1,No,,50,Yes,No,No,No,No,,ABS time,REL time,No,TRUE,,5,1,Acquisition,36,36,,,,,,,1.5,,,,,,Reduced,,,,,,0.29,0.05,,,,,,,,,0.29,0.05,0.29
106,"Wulf, Lee, & Schmidt",1994,1,,,Adult,Novice,Stable-constant,108,1,No,,50,Yes,No,No,No,No,,REL time,ACE,No,TRUE,,5,1,Acquisition,36,36,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
108,"Wulf, Lee, & Schmidt",1994,1,,,Adult,Novice,Stable-constant,108,1,No,,50,Yes,No,No,No,No,,REL time,ACE,No,TRUE,,5,1,ImmRet,36,36,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
110,"Wulf, Lee, & Schmidt",1994,1,,,Adult,Novice,Stable-constant,108,1,No,,50,Yes,No,No,No,No,,REL time,ACE,No,TRUE,,5,1,DelayRet,36,36,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
112,"Wulf, Lee, & Schmidt",1994,1,,,Adult,Novice,Stable-constant,108,1,No,,50,Yes,No,No,No,No,,REL time,ACE,No,TRUE,,5,1,Transfer,36,36,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
116,"Wulf, Lee, & Schmidt",1994,2,,,Adult,Novice,Stable-constant,108,1,No,,50,Yes,No,No,No,No,,ABS time,REL time,No,TRUE,,5,1,ImmRet,36,36,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
118,"Wulf, Lee, & Schmidt",1994,2,,,Adult,Novice,Stable-constant,108,1,No,,50,Yes,No,No,No,No,,ABS time,REL time,No,TRUE,,5,1,DelayRet,36,36,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
120,"Wulf, Lee, & Schmidt",1994,2,,,Adult,Novice,Stable-constant,108,1,No,,50,Yes,No,No,No,No,,ABS time,REL time,No,TRUE,,5,1,Transfer,36,36,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
483,"Wulf, Schmidt & Deubel",1993,1,,,Adult,Novice,Stable-variable,90,1,No,,63,Yes,No,No,Yes,No,,RMSE,VE,No,TRUE,of residual RMSE,,1,Transfer,19,19,0.06,,,0.04,,,8.53,,,,,,Reduced,,,,,,0.93,0.11,,,,,,,,,0.93,0.11,0.93
482,"Wulf, Schmidt & Deubel",1993,1,,,Adult,Novice,Stable-variable,90,1,No,,63,Yes,No,No,Yes,No,,RMSE,RMSE,No,TRUE,residual,,1,Transfer,19,19,,,,,,,5.19,,,,,,Reduced,,,,,,0.72,0.11,,,,,,,,,0.72,0.11,0.72
477,"Wulf, Schmidt & Deubel",1993,1,,,Adult,Novice,Stable-variable,90,1,No,,63,Yes,No,No,Yes,No,,RMSE,RMSE,No,TRUE,residual,,1,DelayRet,19,19,,,,,,,4.13,,,,,,Reduced,,,,,,0.65,0.11,,,,,,,,,0.65,0.11,0.65
478,"Wulf, Schmidt & Deubel",1993,1,,,Adult,Novice,Stable-variable,90,1,No,,63,Yes,No,No,Yes,No,,RMSE,VE,No,TRUE,of residual RMSE,,1,DelayRet,19,19,0.06,,,0.03,,,3.8,,,,,,Reduced,,,,,,0.62,0.11,,,,,,,,,0.62,0.11,0.62
474,"Wulf, Schmidt & Deubel",1993,1,,,Adult,Novice,Stable-variable,90,1,No,,63,Yes,No,No,Yes,No,,RMSE,VE,No,TRUE,of time factor,,,Acquisition,19,19,0.122,,,0.11,,,2.91,,,,,,Reduced,,,,,,0.54,0.1,,,,,,,,,0.54,0.1,0.54
475,"Wulf, Schmidt & Deubel",1993,1,,,Adult,Novice,Stable-variable,90,1,No,,63,Yes,No,No,Yes,No,,RMSE,VE,No,TRUE,of amp factor,,,Acquisition,19,19,0.146,,,0.118,,,2.86,,,,,,Reduced,,,,,,0.54,0.1,,,,,,,,,0.54,0.1,0.54
473,"Wulf, Schmidt & Deubel",1993,1,,,Adult,Novice,Stable-variable,90,1,No,,63,Yes,No,No,Yes,No,,RMSE,VE,No,TRUE,of residual RMSE,,,Acquisition,19,19,0.078,,,0.056,,,2.64,,,,,,Reduced,,,,,,0.52,0.1,,,,,,,,,0.52,0.1,0.52
472,"Wulf, Schmidt & Deubel",1993,1,,,Adult,Novice,Stable-variable,90,1,No,,63,Yes,No,No,Yes,No,,RMSE,RMSE,No,TRUE,residual,,,Acquisition,19,19,,,,,,,1.07,,,,,,Reduced,,,,,,0.33,0.1,,,,,,,,,0.33,0.1,0.33
479,"Wulf, Schmidt & Deubel",1993,1,,,Adult,Novice,Stable-variable,90,1,No,,63,Yes,No,No,Yes,No,,RMSE,VE,No,TRUE,of time factor,,1,DelayRet,19,19,0.21,,,0.26,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
480,"Wulf, Schmidt & Deubel",1993,1,,,Adult,Novice,Stable-variable,90,1,No,,63,Yes,No,No,Yes,No,,RMSE,VE,No,TRUE,of amp factor,,1,DelayRet,19,19,0.11,,,0.09,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
484,"Wulf, Schmidt & Deubel",1993,1,,,Adult,Novice,Stable-variable,90,1,No,,63,Yes,No,No,Yes,No,,RMSE,VE,No,TRUE,of time factor,,1,Transfer,19,19,0.13,,,0.12,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
485,"Wulf, Schmidt & Deubel",1993,1,,,Adult,Novice,Stable-variable,90,1,No,,63,Yes,No,No,Yes,No,,RMSE,VE,No,TRUE,of amp factor,,1,Transfer,19,19,0.13,,,0.14,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
487,"Wulf, Schmidt & Deubel",1993,2,,,Adult,Novice,Stable-variable,90,1,No,,63,Yes,No,No,Yes,No,,RMSE,RMSE,No,FALSE,residual,,,Acquisition,,,,,,,,,5.02,,,,,,Reduced,,,,,,,,,,,,,,,,,,
488,"Wulf, Schmidt & Deubel",1993,2,,,Adult,Novice,Stable-variable,90,1,No,,63,Yes,No,No,Yes,No,,RMSE,VE,No,TRUE,of residual RMSE,,,Acquisition,,,0.072,,,0.058,,,5.43,,,,,,Reduced,,,,,,,,,,,,,,,,,,
